Season,Name,Team,PA,BABIP,LD,GB,FB,IFFB,GB/FB,HR/FB,IFH,IFH,BUH,BUH,O-Swing,Z-Swing,Swing,O-Contact,Z-Contact,Contact,Zone,F-Strike,SwStr,playerid
2002,Barry Bonds,Giants,612,.330,22.1 ,30.4 ,47.5 ,10.6 ,0.64,27.1 ,4,3.7 ,0,0.0 ,11.5 ,70.1 ,36.7 ,39.6 ,89.8 ,80.8 ,43.1 ,45.1 ,6.5 ,1109
2004,Barry Bonds,Giants,617,.310,19.4 ,34.3 ,46.3 ,14.2 ,0.74,29.0 ,8,7.0 ,0,0.0 ,8.3 ,66.7 ,34.3 ,64.3 ,90.0 ,86.5 ,44.4 ,39.6 ,4.0 ,1109
2003,Barry Bonds,Giants,550,.304,24.3 ,30.2 ,45.5 ,13.8 ,0.66,29.6 ,6,5.9 ,0,0.0 ,19.9 ,68.4 ,40.2 ,44.0 ,89.2 ,76.2 ,41.9 ,46.4 ,8.8 ,1109
2003,Albert Pujols,Cardinals,685,.346,22.5 ,41.4 ,36.1 ,15.2 ,1.15,22.5 ,17,7.8 ,1,50.0 ,22.4 ,68.3 ,44.3 ,60.1 ,92.3 ,83.8 ,47.7 ,53.9 ,7.1 ,1177
2002,Jim Thome,Indians,613,.319,24.2 ,33.4 ,42.4 ,6.8 ,0.79,35.4 ,8,6.9 ,0,0.0 ,14.9 ,70.1 ,41.7 ,32.1 ,77.1 ,68.8 ,48.5 ,53.2 ,12.6 ,409
2002,Manny Ramirez,Red Sox,518,.373,25.3 ,44.3 ,30.4 ,7.5 ,1.46,30.8 ,10,6.4 ,0,0.0 ,13.1 ,70.2 ,43.3 ,46.0 ,87.8 ,81.8 ,52.8 ,57.7 ,7.7 ,210
2008,Albert Pujols,Cardinals,641,.340,22.4 ,40.2 ,37.4 ,11.7 ,1.07,20.7 ,12,6.3 ,0,0.0 ,21.6 ,63.8 ,41.5 ,75.1 ,95.8 ,90.1 ,47.1 ,49.6 ,3.8 ,1177
2004,Todd Helton,Rockies,683,.352,22.2 ,34.3 ,43.5 ,9.1 ,0.79,15.3 ,10,6.1 ,0,0.0 ,13.4 ,71.5 ,43.0 ,71.9 ,88.9 ,86.3 ,50.9 ,53.0 ,5.9 ,432
2003,Todd Helton,Rockies,703,.363,28.8 ,32.3 ,38.9 ,6.0 ,0.83,16.4 ,5,3.0 ,1,100.0 ,20.7 ,70.5 ,44.5 ,67.2 ,91.8 ,85.8 ,47.9 ,53.9 ,6.2 ,432
2006,Travis Hafner,Indians,564,.323,21.2 ,38.6 ,40.3 ,3.6 ,0.96,30.2 ,4,3.0 ,0,0.0 ,19.2 ,63.8 ,39.7 ,44.3 ,83.0 ,72.9 ,46.0 ,51.1 ,10.4 ,1573
