Season,Name,Team,BABIP,PA,GB,LD,FB,IFFB,GB/FB,HR/FB,O-Swing (pfx),Z-Swing (pfx),Swing (pfx),O-Contact (pfx),Z-Contact (pfx),Contact (pfx),Zone (pfx),playerid
2002,Barry Bonds,Giants,.330,612,30.4 ,22.1 ,47.5 ,10.6 ,0.64,27.1 , , , , , , , ,1109
2004,Barry Bonds,Giants,.310,617,34.3 ,19.4 ,46.3 ,14.2 ,0.74,29.0 , , , , , , , ,1109
2003,Barry Bonds,Giants,.304,550,30.2 ,24.3 ,45.5 ,13.8 ,0.66,29.6 , , , , , , , ,1109
2003,Albert Pujols,Cardinals,.346,685,41.4 ,22.5 ,36.1 ,15.2 ,1.15,22.5 , , , , , , , ,1177
2002,Jim Thome,Indians,.319,613,33.4 ,24.2 ,42.4 ,6.8 ,0.79,35.4 , , , , , , , ,409
2002,Manny Ramirez,Red Sox,.373,518,44.3 ,25.3 ,30.4 ,7.5 ,1.46,30.8 , , , , , , , ,210
2008,Albert Pujols,Cardinals,.340,641,40.2 ,22.4 ,37.4 ,11.7 ,1.07,20.7 ,22.7 ,60.1 ,39.2 ,79.5 ,95.7 ,90.5 ,44.1 ,1177
2004,Todd Helton,Rockies,.352,683,34.3 ,22.2 ,43.5 ,9.1 ,0.79,15.3 , , , , , , , ,432
2003,Todd Helton,Rockies,.363,703,32.3 ,28.8 ,38.9 ,6.0 ,0.83,16.4 , , , , , , , ,432
2006,Travis Hafner,Indians,.323,564,38.6 ,21.2 ,40.3 ,3.6 ,0.96,30.2 , , , , , , , ,1573
2007,David Ortiz,Red Sox,.355,667,37.5 ,17.2 ,45.3 ,4.4 ,0.83,17.2 ,23.4 ,67.3 ,43.1 ,59.4 ,89.4 ,80.4 ,44.8 ,745
2010,Justin Morneau,Twins,.385,348,33.1 ,22.0 ,44.9 ,9.4 ,0.74,17.0 ,32.5 ,62.5 ,44.8 ,70.5 ,87.9 ,80.4 ,40.9 ,1737
2009,Albert Pujols,Cardinals,.299,700,38.7 ,15.6 ,45.7 ,12.0 ,0.85,20.1 ,25.3 ,60.8 ,40.2 ,73.8 ,94.5 ,86.9 ,42.0 ,1177
2006,Albert Pujols,Cardinals,.292,634,37.3 ,18.0 ,44.7 ,14.7 ,0.83,22.5 , , , , , , , ,1177
2008,Chipper Jones,Braves,.383,534,42.9 ,24.1 ,33.0 ,4.8 ,1.30,17.5 ,19.1 ,64.6 ,39.0 ,75.0 ,85.6 ,82.7 ,43.8 ,97
2010,Josh Hamilton,Rangers,.390,571,41.7 ,22.0 ,36.3 ,3.9 ,1.15,20.6 ,35.9 ,76.4 ,54.0 ,63.1 ,82.3 ,75.3 ,44.7 ,1875
2011,Mike Napoli,Rangers,.344,432,39.2 ,19.6 ,41.3 ,5.1 ,0.95,25.4 ,21.1 ,58.0 ,40.0 ,61.7 ,78.4 ,74.1 ,51.3 ,3057
2007,Alex Rodriguez,Yankees,.309,708,41.1 ,16.9 ,41.9 ,11.6 ,0.98,27.3 ,25.9 ,59.4 ,41.5 ,51.5 ,81.8 ,71.7 ,46.7 ,1274
2002,Brian Giles,Pirates,.282,644,30.8 ,19.9 ,49.3 ,11.8 ,0.63,18.0 , , , , , , , ,990
2005,Derrek Lee,Cubs,.343,691,38.6 ,22.0 ,39.4 ,7.2 ,0.98,23.7 , , , , , , , ,525
2011,Jose Bautista,Blue Jays,.309,655,36.9 ,16.0 ,47.0 ,15.2 ,0.79,22.5 ,21.2 ,57.9 ,37.5 ,64.2 ,86.3 ,79.3 ,44.4 ,1887
2003,Javy Lopez,Braves,.329,495,39.4 ,23.4 ,37.2 ,10.2 ,1.06,31.4 , , , , , , , ,103
2004,Albert Pujols,Cardinals,.298,692,41.6 ,17.0 ,41.4 ,14.1 ,1.00,20.3 , , , , , , , ,1177
2002,Jason Giambi,Yankees,.328,689,30.0 ,25.4 ,44.6 ,11.9 ,0.67,20.3 , , , , , , , ,818
2010,Jim Thome,Twins,.310,340,40.8 ,21.4 ,37.8 ,4.1 ,1.08,33.8 ,20.3 ,59.4 ,37.9 ,50.6 ,80.1 ,71.4 ,45.2 ,409
2012,Joey Votto,Reds,.404,475,37.8 ,30.2 ,32.0 ,1.1 ,1.18,15.1 ,20.0 ,56.9 ,36.7 ,72.1 ,83.8 ,80.3 ,45.3 ,4314
2009,Joe Mauer,Twins,.373,606,47.8 ,22.6 ,29.5 ,1.5 ,1.62,20.4 ,23.7 ,50.3 ,35.9 ,83.9 ,90.3 ,88.0 ,46.1 ,1857
2007,Magglio Ordonez,Tigers,.381,679,42.0 ,19.2 ,38.8 ,5.0 ,1.08,13.9 ,25.4 ,66.9 ,46.1 ,80.5 ,88.1 ,86.0 ,49.9 ,248
2010,Joey Votto,Reds,.361,648,45.2 ,20.0 ,34.8 ,0.0 ,1.30,25.0 ,29.9 ,68.2 ,47.0 ,68.9 ,82.5 ,77.8 ,44.8 ,4314
2011,Miguel Cabrera,Tigers,.365,688,44.1 ,22.1 ,33.8 ,5.5 ,1.30,18.2 ,27.5 ,71.2 ,46.8 ,71.8 ,87.5 ,82.3 ,44.1 ,1744
2006,Luke Scott,Astros,.383,249,36.0 ,24.4 ,39.5 ,7.4 ,0.91,14.7 , , , , , , , ,3469
2006,Ryan Howard,Phillies,.356,704,41.9 ,21.9 ,36.2 ,3.4 ,1.16,39.5 , , , , , , , ,2154
2006,Manny Ramirez,Red Sox,.341,558,35.8 ,22.3 ,42.0 ,5.4 ,0.85,23.5 , , , , , , , ,210
2004,Jim Edmonds,Cardinals,.344,612,33.4 ,21.2 ,45.3 ,3.8 ,0.74,26.3 , , , , , , , ,1153
2005,Alex Rodriguez,Yankees,.347,715,44.8 ,15.6 ,39.7 ,8.1 ,1.13,25.8 , , , , , , , ,1274
2007,Chipper Jones,Braves,.348,600,43.6 ,19.2 ,37.2 ,3.6 ,1.17,17.6 ,22.0 ,68.1 ,42.2 ,70.5 ,86.2 ,81.6 ,43.7 ,97
2002,Larry Walker,Rockies,.353,553,44.1 ,23.4 ,32.5 ,10.6 ,1.36,19.7 , , , , , , , ,455
2008,Manny Ramirez,- - -,.370,654,38.0 ,23.4 ,38.7 ,8.4 ,0.98,22.2 ,23.6 ,69.8 ,44.0 ,62.9 ,86.6 ,79.5 ,44.3 ,210
2005,Albert Pujols,Cardinals,.316,700,41.8 ,20.0 ,38.2 ,16.3 ,1.09,20.3 , , , , , , , ,1177
2010,Miguel Cabrera,Tigers,.336,648,39.3 ,18.9 ,41.7 ,7.8 ,0.94,19.8 ,28.7 ,70.9 ,46.4 ,68.4 ,84.9 ,78.9 ,42.0 ,1744
2007,Carlos Pena,Devil Rays,.297,612,37.5 ,18.0 ,44.5 ,8.2 ,0.84,29.1 ,24.6 ,72.7 ,43.9 ,50.9 ,75.7 ,67.4 ,40.1 ,934
2003,Gary Sheffield,Braves,.308,678,46.3 ,19.7 ,34.0 ,18.3 ,1.36,21.7 , , , , , , , ,114
2004,Lance Berkman,Astros,.339,687,40.0 ,21.2 ,38.8 ,9.8 ,1.03,17.2 , , , , , , , ,548
2004,J.D. Drew,Braves,.340,645,42.8 ,19.1 ,38.1 ,10.4 ,1.12,20.1 , , , , , , , ,1152
2007,Matt Holliday,Rockies,.377,713,44.2 ,19.8 ,36.0 ,3.8 ,1.23,19.5 ,33.3 ,76.7 ,52.0 ,62.4 ,85.1 ,76.8 ,43.0 ,1873
2004,Larry Walker,- - -,.324,316,47.3 ,16.9 ,35.8 ,19.4 ,1.32,23.6 , , , , , , , ,455
2007,Barry Bonds,Giants,.254,477,39.9 ,17.4 ,42.7 ,13.8 ,0.93,22.8 ,13.6 ,60.0 ,33.3 ,69.1 ,92.8 ,87.2 ,42.5 ,1109
2006,David Ortiz,Red Sox,.270,686,36.4 ,16.7 ,46.8 ,8.2 ,0.78,26.1 , , , , , , , ,745
2006,Lance Berkman,Astros,.316,646,39.0 ,19.2 ,41.8 ,15.3 ,0.93,24.6 , , , , , , , ,548
2011,Ryan Braun,Brewers,.350,629,41.7 ,20.9 ,37.4 ,5.1 ,1.11,18.8 ,29.9 ,60.8 ,43.8 ,72.5 ,88.5 ,82.5 ,45.1 ,3410
2012,David Ortiz,Red Sox,.316,383,36.7 ,21.5 ,41.8 ,7.8 ,0.88,20.0 ,24.1 ,63.9 ,41.6 ,72.3 ,90.0 ,84.3 ,44.0 ,745
2004,Frank Thomas,White Sox,.283,311,28.3 ,18.5 ,53.3 ,6.1 ,0.53,18.4 , , , , , , , ,255
2002,Alex Rodriguez,Rangers,.290,725,38.1 ,19.0 ,42.9 ,10.6 ,0.89,26.4 , , , , , , , ,1274
2008,Milton Bradley,Rangers,.388,510,41.1 ,24.7 ,34.2 ,7.7 ,1.20,21.2 ,20.7 ,68.6 ,43.5 ,50.5 ,81.9 ,74.1 ,47.7 ,369
2003,Carlos Delgado,Blue Jays,.327,705,35.0 ,27.0 ,38.0 ,8.4 ,0.92,25.1 , , , , , , , ,1297
2004,Adrian Beltre,Dodgers,.325,657,41.4 ,18.6 ,40.0 ,14.6 ,1.03,23.3 , , , , , , , ,639
2005,Travis Hafner,Indians,.344,578,43.1 ,20.2 ,36.8 ,5.2 ,1.17,24.4 , , , , , , , ,1573
2004,Scott Rolen,Cardinals,.323,593,30.1 ,21.2 ,48.7 ,10.4 ,0.62,16.8 , , , , , , , ,970
2005,Jason Giambi,Yankees,.292,545,33.0 ,19.3 ,47.7 ,10.3 ,0.69,21.9 , , , , , , , ,818
2009,Prince Fielder,Brewers,.315,719,40.7 ,16.2 ,43.1 ,5.5 ,0.94,23.1 ,27.2 ,63.2 ,43.1 ,62.4 ,86.0 ,77.8 ,44.3 ,4613
2010,Jose Bautista,Blue Jays,.233,683,31.1 ,14.4 ,54.5 ,14.9 ,0.57,21.7 ,22.0 ,60.0 ,40.4 ,66.1 ,86.1 ,80.5 ,48.5 ,1887
2006,Chipper Jones,Braves,.339,477,40.9 ,19.3 ,39.8 ,2.9 ,1.03,19.1 , , , , , , , ,97
2007,Ryan Braun,Brewers,.361,492,38.8 ,16.3 ,44.9 ,7.8 ,0.86,22.1 ,36.2 ,68.9 ,51.6 ,64.2 ,83.2 ,76.1 ,47.0 ,3410
2004,Melvin Mora,Orioles,.371,636,39.1 ,22.1 ,38.8 ,9.2 ,1.01,15.5 , , , , , , , ,157
2003,Manny Ramirez,Red Sox,.334,679,35.4 ,25.0 ,39.6 ,14.7 ,0.89,19.5 , , , , , , , ,210
2006,Jim Thome,White Sox,.321,610,36.9 ,20.0 ,43.1 ,7.9 ,0.85,27.8 , , , , , , , ,409
2002,Todd Helton,Rockies,.344,668,33.9 ,29.0 ,37.1 ,4.6 ,0.91,17.1 , , , , , , , ,432
2007,Albert Pujols,Cardinals,.317,679,42.1 ,18.6 ,39.2 ,7.4 ,1.07,15.8 ,23.2 ,51.9 ,36.6 ,77.3 ,96.4 ,90.0 ,46.8 ,1177
2002,Vladimir Guerrero,Expos,.327,709,41.8 ,23.0 ,35.2 ,11.9 ,1.19,20.2 , , , , , , , ,778
2003,Vladimir Guerrero,Expos,.328,467,44.3 ,21.7 ,33.9 ,17.9 ,1.31,21.4 , , , , , , , ,778
2007,Chase Utley,Phillies,.362,613,37.9 ,19.6 ,42.4 ,6.3 ,0.89,11.6 ,23.2 ,57.7 ,40.2 ,72.4 ,92.4 ,86.5 ,49.2 ,1679
2010,Kevin Youkilis,Red Sox,.327,435,37.0 ,16.3 ,46.7 ,9.3 ,0.79,13.6 ,20.8 ,53.1 ,37.7 ,77.8 ,90.1 ,86.8 ,52.1 ,1935
2007,Prince Fielder,Brewers,.283,681,34.9 ,19.3 ,45.8 ,8.1 ,0.76,23.9 ,31.8 ,63.8 ,44.9 ,59.5 ,88.0 ,76.1 ,40.9 ,4613
2010,Albert Pujols,Cardinals,.297,700,38.3 ,17.2 ,44.5 ,13.5 ,0.86,18.3 ,24.3 ,60.9 ,40.8 ,75.7 ,89.9 ,85.2 ,45.1 ,1177
2005,David Ortiz,Red Sox,.303,713,31.4 ,22.5 ,46.1 ,9.9 ,0.68,21.1 , , , , , , , ,745
2009,Joey Votto,Reds,.372,544,39.0 ,21.7 ,39.3 ,1.4 ,0.99,17.5 ,24.5 ,72.9 ,46.3 ,60.9 ,83.4 ,76.8 ,44.9 ,4314
2006,Jermaine Dye,White Sox,.328,611,39.5 ,20.1 ,40.4 ,5.8 ,0.98,25.4 , , , , , , , ,911
2007,Jorge Posada,Yankees,.386,589,40.4 ,22.1 ,37.5 ,4.5 ,1.08,13.0 ,20.3 ,61.9 ,40.2 ,78.3 ,92.8 ,89.0 ,47.8 ,841
2004,Travis Hafner,Indians,.350,576,38.2 ,18.8 ,43.0 ,8.0 ,0.89,17.3 , , , , , , , ,1573
2003,Jim Edmonds,Cardinals,.297,531,33.5 ,20.2 ,46.3 ,4.0 ,0.72,26.2 , , , , , , , ,1153
2012,Miguel Cabrera,Tigers,.331,697,42.3 ,21.7 ,36.0 ,4.7 ,1.17,23.0 ,30.9 ,68.3 ,48.5 ,69.0 ,90.1 ,82.9 ,46.9 ,1744
2008,Lance Berkman,Astros,.341,665,42.5 ,18.5 ,39.0 ,7.4 ,1.09,16.6 ,26.8 ,70.4 ,45.3 ,61.9 ,84.9 ,77.0 ,42.4 ,548
2010,Paul Konerko,White Sox,.326,631,35.1 ,19.8 ,45.0 ,7.5 ,0.78,19.5 ,25.2 ,57.4 ,41.7 ,61.7 ,87.4 ,79.8 ,51.3 ,242
2004,Manny Ramirez,Red Sox,.324,663,41.5 ,15.7 ,42.8 ,5.7 ,0.97,22.3 , , , , , , , ,210
2003,Alex Rodriguez,Rangers,.305,715,38.8 ,22.8 ,38.4 ,15.5 ,1.01,25.1 , , , , , , , ,1274
2005,Todd Helton,Rockies,.349,626,33.0 ,24.7 ,42.3 ,9.3 ,0.78,11.0 , , , , , , , ,432
2002,Sammy Sosa,Cubs,.302,666,42.3 ,20.0 ,37.7 ,13.4 ,1.12,31.2 , , , , , , , ,302
2006,Miguel Cabrera,Marlins,.379,676,40.3 ,24.2 ,35.5 ,6.6 ,1.14,15.6 , , , , , , , ,1744
2002,Magglio Ordonez,White Sox,.316,654,41.1 ,20.9 ,38.0 ,9.2 ,1.08,19.4 , , , , , , , ,248
2002,Mike Sweeney,Royals,.333,545,40.0 ,21.8 ,38.2 ,13.9 ,1.05,14.5 , , , , , , , ,634
2008,Carlos Quentin,White Sox,.278,569,41.4 ,15.4 ,43.2 ,9.8 ,0.96,20.7 ,27.0 ,70.9 ,48.4 ,63.9 ,85.3 ,79.2 ,48.8 ,6274
2002,Jim Edmonds,Cardinals,.375,576,35.8 ,27.2 ,37.0 ,3.1 ,0.97,21.9 , , , , , , , ,1153
2004,J.T. Snow,Giants,.365,417,38.1 ,23.2 ,38.8 ,8.0 ,0.98,10.7 , , , , , , , ,1133
2005,Tony Clark,Diamondbacks,.321,393,43.4 ,22.1 ,34.5 ,6.5 ,1.26,32.6 , , , , , , , ,182
2007,David Wright,Mets,.356,711,39.3 ,23.2 ,37.5 ,3.8 ,1.05,16.1 ,24.9 ,60.5 ,41.2 ,73.4 ,84.6 ,80.9 ,45.8 ,3787
