Team,FullName,AVG,SLG,Contact%,LD%,FB%,UZR/150,ERA,FIP,xFIP,PitchingWAR,SB,CS,ISO,Spd,BABIP,UBR
LAA,Angels,0.274,0.433,0.81,0.2,0.33,8.7,4.02,4.26,4.15,9.1,134,33,0.159,4.8,0.311,11.3
HOU,Astros,0.236,0.371,0.78,0.21,0.34,-3,4.57,4.27,4.15,7,105,46,0.135,4.3,0.288,-8.5
OAK,Athletics,0.238,0.404,0.78,0.21,0.4,2.7,3.5,3.89,4.2,18.1,122,32,0.166,5.1,0.281,6.8
TOR,Blue Jays,0.245,0.407,0.78,0.2,0.36,-1.2,4.64,4.66,4.3,6.5,123,41,0.161,4.6,0.281,3.3
ATL,Braves,0.247,0.389,0.78,0.21,0.33,10.3,3.42,3.74,3.8,16.7,101,32,0.142,4.6,0.296,6.5
MIL,Brewers,0.259,0.437,0.79,0.19,0.36,-2.2,4.22,3.82,3.73,15.3,158,39,0.177,5.6,0.299,-2.3
STL,Cardinals,0.271,0.421,0.81,0.21,0.31,-3.3,3.71,3.62,3.72,16.8,91,37,0.15,4.7,0.316,-2.6
CHC,Cubs,0.24,0.378,0.8,0.22,0.33,3,4.51,4.46,4.39,6.3,94,45,0.138,4.6,0.286,-3.1
ARI,Diamondbacks,0.259,0.418,0.79,0.22,0.36,0.2,3.94,3.81,3.84,19.7,93,51,0.159,4.6,0.307,1
LAD,Dodgers,0.252,0.374,0.81,0.22,0.32,1.8,3.35,3.64,3.93,15.9,104,44,0.122,4.2,0.298,-3.7
SFG,Giants,0.269,0.397,0.81,0.22,0.31,1.8,3.68,3.78,3.95,13.3,118,39,0.128,5.6,0.315,3.3
CLE,Indians,0.251,0.381,0.82,0.21,0.33,-6.8,4.79,4.4,4.39,6.6,110,44,0.131,4.2,0.288,-9.2
SEA,Mariners,0.234,0.369,0.79,0.21,0.36,3.3,3.76,4,4.09,12.7,104,35,0.135,4.6,0.276,-5.8
MIA,Marlins,0.244,0.382,0.79,0.21,0.35,-2.9,4.1,3.89,4.17,14.5,149,41,0.138,5.2,0.289,7
NYM,Mets,0.249,0.386,0.81,0.22,0.33,-6.6,4.09,3.93,4.04,12.4,79,38,0.137,3.9,0.298,2.7
WSH,Nationals,0.261,0.428,0.77,0.2,0.35,1.5,3.34,3.54,3.8,20.1,105,35,0.166,4.6,0.308,-17.7
BAL,Orioles,0.247,0.417,0.78,0.2,0.36,-4.7,3.9,4.2,4.14,15.9,58,29,0.17,3.7,0.286,-4.6
SDP,Padres,0.247,0.38,0.78,0.2,0.31,-3.9,4.01,4.11,4.05,4.4,155,46,0.133,5.5,0.297,-0.6
PHI,Phillies,0.255,0.4,0.81,0.2,0.32,2.9,3.86,3.72,3.61,18.5,116,23,0.144,4.9,0.29,-3.9
PIT,Pirates,0.243,0.395,0.79,0.2,0.35,-2.6,3.91,3.94,3.97,10.4,73,52,0.152,4.3,0.291,8.1
TEX,Rangers,0.273,0.446,0.79,0.21,0.35,1.4,4.02,3.9,3.86,23.8,91,44,0.173,4.5,0.306,7
TBR,Rays,0.24,0.394,0.77,0.2,0.37,3.4,3.19,3.51,3.59,21.7,134,44,0.155,4.9,0.284,0.5
BOS,Red Sox,0.26,0.415,0.81,0.21,0.36,4.1,4.72,4.41,4.16,12.7,97,31,0.155,4.2,0.301,1.9
CIN,Reds,0.251,0.411,0.79,0.21,0.36,2.4,3.34,3.72,3.8,20.1,87,27,0.159,4.4,0.296,4.2
COL,Rockies,0.274,0.436,0.79,0.22,0.32,-5.9,5.22,4.59,4.28,10.7,100,40,0.163,5.1,0.321,9.6
KCR,Royals,0.265,0.4,0.82,0.22,0.32,0.4,4.3,4.18,4.29,14.8,132,38,0.135,5.2,0.302,-2.8
DET,Tigers,0.268,0.422,0.81,0.22,0.34,-4.9,3.77,3.63,3.74,24.5,59,23,0.154,4.3,0.307,-6.2
MIN,Twins,0.26,0.39,0.83,0.21,0.3,-0.2,4.77,4.66,4.46,4.5,135,37,0.13,4.9,0.298,3.6
CHW,White Sox,0.255,0.422,0.8,0.22,0.36,1.3,4.02,4.23,4.12,17.4,109,43,0.167,4.7,0.289,-4.5
NYY,Yankees,0.265,0.453,0.8,0.21,0.33,-2.6,3.86,3.98,3.75,19.7,93,27,0.188,4.1,0.293,-0.7
