DATE,UNRATE,POP,PAYEMS,
1/1/52,3.2,156309,48299,
2/1/52,3.1,156527,48522,
3/1/52,2.9,156731,48504,
4/1/52,2.9,156943,48616,
5/1/52,3,157140,48645,
6/1/52,3,157343,48286,
7/1/52,3.2,157553,48144,
8/1/52,3.4,157798,48922,
9/1/52,3.1,158053,49319,
10/1/52,3,158306,49598,
11/1/52,2.8,158451,49816,
12/1/52,2.7,158757,50164,
1/1/53,2.9,158973,50145,
2/1/53,2.6,159170,50339,
3/1/53,2.6,159349,50474,
4/1/53,2.7,159556,50432,
5/1/53,2.5,159745,50491,
6/1/53,2.5,159956,50522,
7/1/53,2.6,160184,50536,
8/1/53,2.7,160449,50487,
9/1/53,2.9,160718,50365,
10/1/53,3.1,160978,50242,
11/1/53,3.5,161223,49906,
12/1/53,4.5,161453,49702,
1/1/54,4.9,161690,49467,
2/1/54,5.2,161912,49381,
3/1/54,5.7,162124,49158,
4/1/54,5.9,162350,49177,
5/1/54,5.9,162564,48965,
6/1/54,5.6,162790,48896,
7/1/54,5.8,163026,48834,
8/1/54,6,163290,48825,
9/1/54,6.1,163570,48881,
10/1/54,5.7,163847,48944,
11/1/54,5.3,164107,49179,
12/1/54,5,164349,49331,
1/1/55,4.9,164588,49497,
2/1/55,4.7,164809,49644,
3/1/55,4.6,165018,49963,
4/1/55,4.7,165251,50246,
5/1/55,4.3,165463,50512,
6/1/55,4.2,165695,50790,
7/1/55,4,165931,50985,
8/1/55,4.2,166192,51112,
9/1/55,4.1,166473,51262,
10/1/55,4.3,166755,51431,
11/1/55,4.2,167023,51592,
12/1/55,4.2,167270,51805,
1/1/56,4,167513,51975,
2/1/56,3.9,167746,52167,
3/1/56,4.2,167977,52295,
4/1/56,4,168221,52375,
5/1/56,4.3,168436,52506,
6/1/56,4.3,168659,52583,
7/1/56,4.4,168903,51954,
8/1/56,4.1,169191,52632,
9/1/56,3.9,169488,52600,
10/1/56,3.9,169780,52781,
11/1/56,4.3,170063,52822,
12/1/56,4.2,170315,52930,
1/1/57,4.2,170571,52888,
2/1/57,3.9,170806,53098,
3/1/57,3.7,171029,53156,
4/1/57,3.9,171271,53238,
5/1/57,4.1,171501,53149,
6/1/57,4.3,171741,53066,
7/1/57,4.2,171984,53122,
8/1/57,4.1,172257,53128,
9/1/57,4.4,172538,52932,
10/1/57,4.5,172816,52765,
11/1/57,5.1,173070,52557,
12/1/57,5.2,173298,52385,
1/1/58,5.8,173533,52077,
2/1/58,6.4,173746,51576,
3/1/58,6.7,173945,51300,
4/1/58,7.4,174176,51026,
5/1/58,7.4,174397,50913,
6/1/58,7.3,174639,50912,
7/1/58,7.5,174882,51037,
8/1/58,7.4,175143,51233,
9/1/58,7.1,175413,51506,
10/1/58,6.7,175697,51485,
11/1/58,6.2,175966,51943,
12/1/58,6.2,176207,52088,
1/1/59,6,176447,52481,
2/1/59,5.9,176685,52687,
3/1/59,5.6,176905,53016,
4/1/59,5.2,177146,53320,
5/1/59,5.1,177365,53549,
6/1/59,5,177591,53678,
7/1/59,5.1,177830,53803,
8/1/59,5.2,178101,53337,
9/1/59,5.5,178376,53428,
10/1/59,5.7,178657,53359,
11/1/59,5.8,178921,53635,
12/1/59,5.3,179153,54175,
1/1/60,5.2,179386,54274,
2/1/60,4.8,179597,54513,
3/1/60,5.4,179788,54458,
4/1/60,5.2,180007,54812,
5/1/60,5.1,180222,54472,
6/1/60,5.4,180444,54347,
7/1/60,5.5,180671,54303,
8/1/60,5.6,180945,54272,
9/1/60,5.5,181238,54228,
10/1/60,6.1,181528,54144,
11/1/60,6.1,181796,53962,
12/1/60,6.6,182042,53743,
1/1/61,6.6,182287,53683,
2/1/61,6.9,182520,53556,
3/1/61,6.9,182742,53662,
4/1/61,7,182992,53626,
5/1/61,7.1,183217,53783,
6/1/61,6.9,183452,53977,
7/1/61,7,183691,54124,
8/1/61,6.6,183958,54299,
9/1/61,6.7,184243,54387,
10/1/61,6.5,184524,54521,
11/1/61,6.1,184783,54743,
12/1/61,6,185016,54871,
1/1/62,5.8,185242,54891,
2/1/62,5.5,185452,55187,
3/1/62,5.6,185650,55276,
4/1/62,5.6,185874,55601,
5/1/62,5.5,186087,55626,
6/1/62,5.5,186314,55644,
7/1/62,5.4,186538,55746,
8/1/62,5.7,186790,55838,
9/1/62,5.6,187058,55977,
10/1/62,5.4,187323,56041,
11/1/62,5.7,187574,56055,
12/1/62,5.5,187796,56027,
1/1/63,5.7,188013,56116,
2/1/63,5.9,188213,56231,
3/1/63,5.7,188387,56322,
4/1/63,5.7,188580,56580,
5/1/63,5.9,188790,56616,
6/1/63,5.6,189018,56658,
7/1/63,5.6,189242,56795,
8/1/63,5.4,189496,56910,
9/1/63,5.5,189761,57078,
10/1/63,5.5,190028,57284,
11/1/63,5.7,190265,57255,
12/1/63,5.5,190472,57360,
1/1/64,5.6,190668,57487,
2/1/64,5.4,190858,57752,
3/1/64,5.4,191047,57898,
4/1/64,5.3,191245,57923,
5/1/64,5.1,191447,58089,
6/1/64,5.2,191666,58221,
7/1/64,4.9,191889,58412,
8/1/64,5,192131,58620,
9/1/64,5.1,192376,58903,
10/1/64,5.1,192631,58794,
11/1/64,4.8,192847,59217,
12/1/64,5,193039,59420,
1/1/65,4.9,193223,59583,
2/1/65,5.1,193393,59800,
3/1/65,4.7,193540,60003,
4/1/65,4.8,193709,60258,
5/1/65,4.6,193888,60492,
6/1/65,4.6,194087,60690,
7/1/65,4.4,194303,60963,
8/1/65,4.4,194528,61228,
9/1/65,4.3,194761,61490,
10/1/65,4.2,194997,61718,
11/1/65,4.1,195195,61997,
12/1/65,4,195372,62321,
1/1/66,4,195539,62528,
2/1/66,3.8,195688,62796,
3/1/66,3.8,195831,63191,
4/1/66,3.8,195999,63436,
5/1/66,3.9,196178,63711,
6/1/66,3.8,196372,64110,
7/1/66,3.8,196560,64301,
8/1/66,3.8,196762,64507,
9/1/66,3.7,196984,64645,
10/1/66,3.7,197207,64854,
11/1/66,3.6,197398,65019,
12/1/66,3.8,197572,65199,
1/1/67,3.9,197736,65407,
2/1/67,3.8,197892,65427,
3/1/67,3.8,198037,65530,
4/1/67,3.8,198206,65467,
5/1/67,3.8,198363,65618,
6/1/67,3.9,198537,65750,
7/1/67,3.8,198712,65887,
8/1/67,3.8,198911,66142,
9/1/67,3.8,199113,66163,
10/1/67,4,199311,66225,
11/1/67,3.9,199498,66703,
12/1/67,3.8,199657,66900,
1/1/68,3.7,199808,66805,
2/1/68,3.8,199920,67214,
3/1/68,3.7,200056,67296,
4/1/68,3.5,200208,67555,
5/1/68,3.5,200361,67652,
6/1/68,3.7,200536,67904,
7/1/68,3.7,200706,68126,
8/1/68,3.5,200898,68328,
9/1/68,3.4,201095,68487,
10/1/68,3.4,201290,68720,
11/1/68,3.4,201466,68985,
12/1/68,3.4,201621,69245,
1/1/69,3.4,201760,69438,
2/1/69,3.4,201881,69698,
3/1/69,3.4,202023,69906,
4/1/69,3.4,202161,70072,
5/1/69,3.4,202331,70328,
6/1/69,3.5,202507,70636,
7/1/69,3.5,202677,70730,
8/1/69,3.5,202877,71005,
9/1/69,3.7,203090,70918,
10/1/69,3.7,203302,71119,
11/1/69,3.5,203500,71088,
12/1/69,3.5,203675,71240,
1/1/70,3.9,203849,71176,
2/1/70,4.2,204008,71302,
3/1/70,4.4,204156,71453,
4/1/70,4.6,204401,71348,
5/1/70,4.8,204607,71122,
6/1/70,4.9,204830,71028,
